CODE	FR_LABEL	TYPE
HP:0000001	Tous	pt
HP:0000002	Anomalie de la taille corporelle	pt
HP:0000002	Anomalie de la taille	uf
HP:0000003	Dysplasie rénale multikystique	pt
HP:0000005	Mode de transmission	pt
HP:0000006	Transmission autosomique dominante	pt
HP:0000007	Transmission autosomique récessive	pt
HP:0000008	anomalie des organes génitaux internes de la femme	pt
HP:0000009	Anomalie fonctionnelle de la vessie	pt
HP:0000010	infections urinaires récurrentes	pt
HP:0000011	trouble vésical neurogénique	pt
HP:0000012	impériosité mictionnelle	pt
HP:0000012	urgence mictionnelle	uf
HP:0000012	urgence urinaire	uf
HP:0000013	hypoplasie de l'utérus	pt
HP:0000014	anomalie de la vessie	pt
HP:0000015	Diverticule de la vessie	pt
HP:0000015	diverticule de vessie	uf
HP:0000016	rétention urinaire	pt
HP:0000016	rétention d'urine	uf
HP:0000016	retention d'urine	uf
HP:0000017	nycturie	pt
HP:0000017	polyurie nocturne	uf
HP:0000018	désordre du sphincter	pt
HP:0000019	retard de la miction	pt
HP:0000019	délai à la miction	uf
HP:0000020	incontinence urinaire	pt
HP:0000020	incontinence d'urine	uf
HP:0000021	dilatation des voies urinaires basses	pt
HP:0000022	Anomalie des organes génitaux masculins internes	pt
HP:0000022	anomale des organes génitaux internes de l'homme	uf
HP:0000022	anomale des organes génitaux internes masculins	uf
HP:0000023	hernie inguinale	pt
HP:0000023	k40 - hernie inguinale	uf
HP:0000023	hernies inguinales	uf
HP:0000024	prostatite	pt
HP:0000025	anomalie fonctionnelle des organes génitaux masculins internes	pt
HP:0000026	eunuchoïdisme	pt
HP:0000026	hypogonadisme masculin	uf
HP:0000027	Azoospermie	pt
HP:0000028	cryptorchidie	pt
HP:0000029	atrophie testiculaire	pt
HP:0000030	gonadoblastome testiculaire	pt
HP:0000031	épididymite	pt
HP:0000032	Anomalie des organes génitaux masculins externes	pt
HP:0000033	Ambiguïté sexuelle masculine	pt
HP:0000034	hydrocèle du testicule	pt
HP:0000035	anomalie des testicules	pt
HP:0000036	Anomalie du pénis	pt
HP:0000037	Pseudohermaphroditisme masculin	pt
HP:0000037	pseudo-hermaphrodisme masculin	uf
HP:0000039	épispadias	pt
HP:0000040	Pénis élargi	pt
HP:0000041	Courbure du pénis	pt
HP:0000041	coudure de la verge	uf
HP:0000042	Organes génitaux externes absents	pt
HP:0000042	absence des organes génitaux externes	uf
HP:0000044	hypogonadisme hypogonadotrophique	pt
HP:0000044	déficit gonadotrope	uf
HP:0000045	Anomalies du scrotum/scrotales	pt
HP:0000046	hypoplasie scrotale	pt
HP:0000046	hypoplasie du scrotum	uf
HP:0000046	scrotum hypoplasique	uf
HP:0000047	hypospadias	pt
HP:0000048	Scrotum bifide	pt
HP:0000049	Scrotum en châle	pt
HP:0000050	organes génitaux hypoplasiques	pt
HP:0000051	hypospadias périnéal	pt
HP:0000052	Atrésie urétrale masculine	pt
HP:0000053	macroorchidisme	pt
HP:0000054	microphallus	pt
HP:0000055	anomalie des organes génitaux externes de la femme	pt
HP:0000056	anomalie du clitoris	pt
HP:0000057	clitoromégalie	pt
HP:0000058	anomalie des lèvres de la vulve	pt
HP:0000059	Hypoplasie des grandes lèvres	pt
HP:0000059	grandes lèvres hypoplasiques	uf
HP:0000060	hypoplasie clitoridienne	pt
HP:0000060	hypoplasie du clitoris	uf
HP:0000061	Ambiguïté sexuelle féminine	pt
HP:0000062	Ambiguïté sexuelle	pt
HP:0000062	organes génitaux ambigüs	uf
HP:0000062	ambiguïté des organes génitaux externes	uf
HP:0000063	petites lèvres fusionnées	pt
HP:0000064	Hypoplasie des petites lèvres	pt
HP:0000064	petites lèvres hypoplasiques	uf
HP:0000065	hypertrophie labiale	pt
HP:0000066	hypoplasie labiale	pt
HP:0000067	Atrésie urétrale féminine	pt
HP:0000068	Atrésie urétrale	pt
HP:0000069	Anomalie de l'uretère	pt
HP:0000070	urétérocèle	pt
HP:0000071	sténose urétérale	pt
HP:0000072	Hydruretère	pt
HP:0000072	hydro-uretère	uf
HP:0000072	dilatation urétérale	uf
HP:0000073	duplication uretérale	pt
HP:0000073	uretère double	uf
HP:0000074	obstruction de la jonction pyélo-urétérale	pt
HP:0000075	Rein surnuméraire	pt
HP:0000076	reflux vésico-urétéral	pt
HP:0000077	Anomalie du rein	pt
HP:0000078	Anomalie du système génital	pt
HP:0000079	Anomalie du système urinaire	pt
HP:0000080	anomalie de la physiologie génitale	pt
HP:0000081	système collecteur rénal dupliqué	pt
HP:0000082	anomalie de la physiologie rénale	pt
HP:0000082	atteinte de la fonction rénale	uf
HP:0000082	diminution de la fonction rénale	uf
HP:0000083	défaillance rénale	pt
HP:0000083	(n17-n19) - insuffisance rénale	uf
HP:0000083	insuffisance rénale	uf
HP:0000084	insuffisance rénale chez l'adulte	pt
HP:0000085	rein en fer à cheval	pt
HP:0000086	rein ectopique	pt
HP:0000089	hypoplasie rénale	pt
HP:0000090	Néphronophthise	pt
HP:0000091	anomalie du tubule rénal	pt
HP:0000091	anomalie des tubules rénaux	uf
HP:0000092	atrophie tubulaire	pt
HP:0000093	protéinurie	pt
HP:0000094	infections urinaires	pt
HP:0000094	infection de l'appareil urinaire	uf
HP:0000094	infections des voies urinaires	uf
HP:0000095	anomalies morphologiques des glomérules	pt
HP:0000096	glomérulosclérose	pt
HP:0000097	hyalinose segmentaire et focale avec syndrome néphrotique	pt
HP:0000098	augmentation de la taille corporelle	pt
HP:0000098	taille corporelle augmentée	uf
HP:0000099	glomérulonéphrite	pt
HP:0000100	syndrome néphrotique	pt
HP:0000100	néphrose	uf
HP:0000100	n04 - syndrome néphrotique	uf
HP:0000101	N18 - insuffisance rénale chronique	pt
HP:0000103	polyurie	pt
HP:0000104	agénésie rénale	pt
HP:0000105	reins élargis	pt
HP:0000105	gros reins	uf
HP:0000106	insuffisance rénale progressive	pt
HP:0000107	kyste rénal	pt
HP:0000107	kyste du rein	uf
HP:0000108	kystes corticomédullaires	pt
HP:0000110	dysplasie rénale	pt
HP:0000111	hypertrophie/hyperplasie des cellules juxtaglomérulaires	pt
HP:0000112	néphropathie	pt
HP:0000112	néphropathies	uf
HP:0000113	polykystose rénale	pt
HP:0000114	anomalies des tubules contournés proximaux	pt
HP:0000117	perte rénale de phosphate	pt
HP:0000118	Anomalie du phénotype	pt
HP:0000119	Anomalie du système génito-urinaire	pt
HP:0000120	diminution de la clairance de la créatinine	pt
HP:0000121	néphrocalcinose	pt
HP:0000122	agénésie rénale unilatérale	pt
HP:0000122	rein solitaire	uf
HP:0000123	néphrite	pt
HP:0000124	trouble des tubes urinifères	pt
HP:0000125	rein pelvien	pt
HP:0000126	hydronéphrose	pt
HP:0000127	perte rénale de sel	pt
HP:0000128	perte rénale de potassium	pt
HP:0000129	fibrose interstitielle rénale	pt
HP:0000129	fibrose rénale interstitielle	uf
HP:0000130	anomalie de l'utérus	pt
HP:0000131	léiomyome utérin	pt
HP:0000131	fibrome utérin	uf
HP:0000132	ménorragie	pt
HP:0000132	menorragie	uf
HP:0000132	ménorragie	uf
HP:0000133	dysgénésie gonadique	pt
HP:0000133	dysgénésie gonadique pure	uf
HP:0000133	dysgénésie gonadique mixte	uf
HP:0000133	dysgenèse gonadique	uf
HP:0000134	hypergonadisme féminin	pt
HP:0000135	hypogonadisme	pt
HP:0000136	Utérus bifide	pt
HP:0000137	anomalie de l'ovaire	pt
HP:0000138	kyste ovarien	pt
HP:0000138	kystes de l'ovaire	uf
HP:0000139	prolapsus utérin	pt
HP:0000140	Anomalie du cycle menstruel	pt
HP:0000141	Aménorrhée	pt
HP:0000142	Anomalie du vagin	pt
HP:0000143	fistule recto-vaginale	pt
HP:0000144	diminution de la fertilité	pt
HP:0000145	Vagin cloisonné transversal	pt
HP:0000147	ovaires polykystiques	pt
HP:0000147	syndrome des ovaires polykystiques	uf
HP:0000148	Atrésie vaginale	pt
HP:0000148	atrésie du vagin	uf
HP:0000149	Gonadoblastome ovarien	pt
HP:0000150	gonadoblastome	pt
HP:0000151	aplasie de l'utérus	pt
HP:0000151	absence d'utérus	uf
HP:0000152	Anomalie de la tête ou du cou	pt
HP:0000153	Anomalie de la bouche	pt
HP:0000154	macrostomie	pt
HP:0000154	bouche large	uf
HP:0000154	Fente faciale commissurale	uf
HP:0000155	Ulcère buccal	pt
HP:0000155	Ulcère de la  bouche	uf
HP:0000156	palais ogival	pt
HP:0000157	anomalie de la langue	pt
HP:0000158	Macroglossie	pt
HP:0000159	anomalie des lèvres	pt
HP:0000160	microstomie	pt
HP:0000161	Fente labiale médiane	pt
HP:0000162	glossoptose	pt
HP:0000163	Anomalie de la cavité orale	pt
HP:0000164	anomalie des dents	pt
HP:0000166	Périodontite sévère	pt
HP:0000166	parodontite sévère	uf
HP:0000167	Saignement oral	pt
HP:0000168	Anomalie  des gencives	pt
HP:0000169	fibromatose gingivale	pt
HP:0000170	Lèvres épaisses	pt
HP:0000171	microglossie	pt
HP:0000172	anomalie de l'uvule palatine	pt
HP:0000172	anomalie de la luette	uf
HP:0000174	Anomalie du palais	pt
HP:0000175	Fente palatine	pt
HP:0000175	fente vélo-palatine	uf
HP:0000175	fissure palatine	uf
HP:0000176	Fente palatine submuqueuse	pt
HP:0000177	anomalie de la lèvre supérieure	pt
HP:0000178	anomalie de la lèvre inférieure	pt
HP:0000179	vermillon de la lèvre inférieur épais	pt
HP:0000180	langue lobulée	pt
HP:0000182	mouvements anormaux de la langue	pt
HP:0000183	difficulté dans les mouvements de la langue	pt
HP:0000184	lèvres proéminentes	pt
HP:0000185	fente du palais mou	pt
HP:0000185	Fente du voile du palais	uf
HP:0000185	Fente vélaire	uf
HP:0000187	crêtes alvéolaires larges	pt
HP:0000187	rebords alvéolaires épais	uf
HP:0000188	lèvre supérieure courte	pt
HP:0000189	Palais étroit	pt
HP:0000190	Anomalie des freins buccaux	pt
