HPO ID	English term	Italian term
HP:0000001	All	tutto
HP:0000002	Abnormality of body height	anomalia dell'altezza del corpo
HP:0000003	Multicystic kidney dysplasia	displasia Rene Multicistico
HP:0000004	Onset and clinical course	insorgenza e decorso clinico
HP:0000005	Mode of inheritance	modalità di trasmissione
HP:0000006	Autosomal dominant inheritance	autosomica dominante
HP:0000007	Autosomal recessive inheritance	autosomica recessiva
HP:0000008	Abnormality of female internal genitalia	anomalia dei genitali interni femminili
HP:0000009	Functional abnormality of the bladder	anomalia funzionale della vescica
HP:0000010	Recurrent urinary tract infections	infezioni ricorrenti delle vie urinarie
HP:0000011	Neurogenic bladder	vescica neurogena
HP:0000012	Urinary urgency	urgenza urinaria
HP:0000013	Hypoplasia of the uterus	ipoplasia dell'utero
HP:0000014	Abnormality of the bladder	anomalia della vescica
HP:0000015	Bladder diverticula	diverticoli della vescica
HP:0000016	Urinary retention	ritenzione urinaria
HP:0000017	Nocturia	nicturia
HP:0000019	Urinary hesitancy	esitazione urinaria
HP:0000020	Urinary incontinence	incontinenza urinaria
HP:0000021	Lower urinary tract dilatation	dilatazione del tratto urinario inferiore
HP:0000022	Abnormality of male internal genitalia	anomalia dei genitali interni maschili
HP:0000023	Inguinal hernia	ernia inguinale
HP:0000024	Prostatitis	prostatite
HP:0000025	Functional abnormality of male internal genitalia	anomalia funzionale dei genitali interni maschili
HP:0000026	Male hypogonadism	ipogonadismo maschile
HP:0000027	Azoospermia	azoospermia
HP:0000028	Cryptorchidism	criptorchidismo
HP:0000029	Testicular atrophy	atrofia testicolare
HP:0000030	Testicular gonadoblastoma	gonadoblastoma testicolare
HP:0000031	Epididymitis	epididimite
HP:0000032	Abnormality of male external genitalia	anomalia dei genitali esterni maschili
HP:0000033	Ambiguous genitalia, male	genitali maschili ambigui
HP:0000034	Hydrocele testis	testicolo idrocele
HP:0000035	Abnormality of the testis	anomalia del testicolo
HP:0000036	Abnormality of the penis	anomalia del pene
HP:0000037	Male pseudohermaphroditism	pseudoermafroditismo maschile
HP:0000039	Epispadias	epispadia
HP:0000040	Enlarged penis	ingrossamento del pene
HP:0000041	Chordee	chordee
HP:0000042	Absent external genitalia	genitali esterni assenti
HP:0000044	Hypogonadotrophic hypogonadism	ipogonadismo ipogonadotropo
HP:0000045	Abnormality of the scrotum	anomalia dello scroto
HP:0000046	Scrotal hypoplasia	ipoplasia scrotale
HP:0000047	Hypospadias	ipospadia
HP:0000048	Bifid scrotum	scroto bifido
HP:0000049	Shawl scrotum	scroto a scialle
HP:0000050	Hypoplastic genitalia	ipoplasia dei genitali
HP:0000051	Perineal hypospadias	ipospadia perineale
HP:0000052	Urethral atresia, male	atresia dell'uretra maschile
HP:0000053	Macroorchidism	macroorchidismo
HP:0000054	Micropenis	micropene
HP:0000055	Abnormality of female external genitalia	anomalia dei genitali esterni femminili
HP:0000056	Abnormality of the clitoris	anomalia del clitoride
HP:0000057	Clitoromegaly	clitoridomegalia
HP:0000058	Abnormality of the labia	anomalia delle labbra
HP:0000059	Hypoplastic labia majora	ipoplasia delle grandi labbra
HP:0000060	Clitoral hypoplasia	ipoplasia clitoridea
HP:0000061	Ambiguous genitalia, female	genitali femminili ambigui
HP:0000062	Ambiguous genitalia	genitali ambigui
HP:0000063	Fused labia minora	fusione delle piccole labbra
HP:0000064	Hypoplastic labia minora	ipoplasia delle piccole labbra
HP:0000065	Labial hypertrophy	ipertrofia delle labbra
HP:0000066	Labial hypoplasia	ipoplasia delle labbra
HP:0000067	Urethral atresia, female	atresia dell'uretra femminile
HP:0000068	Urethral atresia	atresia dell'uretra
HP:0000069	Abnormality of the ureter	anomalia dell'uretere
HP:0000070	Ureterocele	Ureterocele
HP:0000071	Ureteral stenosis	stenosi ureterale
HP:0000072	Hydroureter	idrouretere
HP:0000073	Ureteral duplication	duplicazione ureterale
HP:0000074	Ureteropelvic junction obstruction	ostruzione della giunzione ureteropelvica
