Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the skeletal system	HP:0010704	1-2 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers one and two.	Sindactilia de dedos 1-2 de la mano	
Abnormality of the skeletal system	HP:0005767	1-2 toe complete cutaneous syndactyly		Sindactilia completa de dedos 1-2 del pie	
Abnormality of the skeletal system	HP:0010711	1-2 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes one and two.	Sindactilia de dedos 1-2 del pie	
Abnormality of the skeletal system	HP:0010706	1-3 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers one to three.	Sindactilia de dedos 1-3 de la mano	
Abnormality of the skeletal system	HP:0001459	1-3 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes one to three.	Sindactilia de dedos 1-3 del pie	
Abnormality of the skeletal system	HP:0010707	1-4 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers one to four.	Sindactilia de dedos 1-4 de la mano	
Abnormality of the skeletal system	HP:0010712	1-4 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes one to four.	Sindactilia de dedos 1-4 del pie	
Abnormality of the skeletal system	HP:0006088	1-5 finger complete cutaneous syndactyly		Sindactilia cutánea completa de dedos 1-5 de la mano	
Abnormality of the skeletal system	HP:0010708	1-5 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers one to five (complete syndactyly of all fingers of the hand).	Sindactilia de dedos 1-5 de la mano	
Abnormality of the skeletal system	HP:0010713	1-5 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes one to five (complete syndactyly of all toes of the foot).	Sindactilia de dedos 1-5 del pie	
Abnormality of the skeletal system	HP:0000878	11 pairs of ribs	Presence of only 11 pairs of ribs.	Once pares de costillas	
Abnormality of the skeletal system	HP:0001233	2-3 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers two and three.	Sindactilia de dedos 2-3 de la mano	
Abnormality of the skeletal system	HP:0005709	2-3 toe cutaneous syndactyly		Sindactilia cutánea de dedos 2-3 del pie	
Abnormality of the skeletal system	HP:0004691	2-3 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes two and three.	Sindactilia de dedos 2-3 del pie	
Abnormality of the skeletal system	HP:0010709	2-4 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of the fingers two to four.	Sindactilia de dedos 2-4 de la mano	
Abnormality of the skeletal system	HP:0005768	2-4 toe cutaneous syndactyly	A soft tissue continuity in the anteroposterior axis between the toes 2, 3, and 4.	Sindactilia cutánea de dedos 2-4 del pie	
Abnormality of the skeletal system	HP:0010714	2-4 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes two to four.	Sindactilia de dedos 2-4 del pie	
Abnormality of the skeletal system	HP:0010692	2-5 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers two to five.	Sindactilia de dedos 2-5 de la mano	
Abnormality of the skeletal system	HP:0010715	2-5 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes two to five.	Sindactilia de dedos 2-5 de los pies	
Abnormality of the skeletal system	HP:0008083	2nd-5th toe middle phalangeal hypoplasia		Hipoplasia de la segunda a la quinta falange media de los dedos de los pies 	
Abnormality of the skeletal system	HP:0011939	3-4 finger cutaneous syndactyly	A soft tissue continuity in the A/P axis between fingers 4 and 4.	Sindactilia cutánea completa de dedos 3-4 de la mano	
Abnormality of the skeletal system	HP:0006097	3-4 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers three and four.	Sindactilia de dedos 3-4 de la mano	
Abnormality of the skeletal system	HP:0009779	3-4 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes three and four.	Sindactilia de dedos 3-4 del pie	
Abnormality of the skeletal system	HP:0010710	3-5 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers three to five.	Sindactilia de dedos 3-5 de la mano	
Abnormality of the skeletal system	HP:0010716	3-5 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes three to five.	Sindactilia de dedos 3-5 del pie	
